,,,,,,,,,,
Client：csa2,Server：csa1,,,,,,,,,
size,RTT(0 server delay),,,Avg,,RTT(10 server delay),,,Avg,
1,82,82,83,82,,92,92,92,92,
100,82,83,82,82,,93,93,93,93,
200,82,81,83,82,,93,93,90,92,
400,82,82,82,82,,92,91,92,91,
800,83,80,82,81,,93,93,93,93,
1000,82,82,82,82,,92,92,92,92,
,,,,,,,,,,
size,tput(0 server delay) bp/s,,,Avg,,tput(10ms server delay),,,Avg,
1000,12195,12195,12195,12195,,10869,10869,10869,10869,
2000,23255,24390,23255,23633,,20833,20833,20833,20833,
4000,44943,49382,44943,46422,,43478,40404,40000,41294,
8000,140350,150943,137931,143075,,109589,111111,131147,117282,
16000,190476,179775,195121,188457,,153846,173913,160000,162586,
32000,258064,266666,268907,264546,,238805,250000,244274,244360,
,,,,,,,,,,
,,,,,,,,,,
Client：csa2,Server：UTDallas: pcvm1-24.instageni.utdallas.edu 50000,,,,,,,,,
size,RTT(),RTT(),RTT(),Avg,,size,tput,tput,,Avg (bp/s)
1,210,205,204,206,,1000,4694,4854,4854,4800
100,207,205,205,205,,2000,14388,14705,14388,14493
200,216,207,205,209,,4000,28985,28776,28776,28845
400,208,207,207,207,,8000,43010,48192,41025,44075
800,207,207,207,207,,16000,63492,62992,63241,63241
1000,207,206,206,206,,32000,86253,88397,91690,88780
